redshift,mB,mB_err
0.284,21.5094,0.0702
0.27,21.1796,0.0383
0.32,21.4279,0.0499
0.265,20.9996,0.0493
0.23,21.3969,0.0431
0.245,21.1587,0.036
0.38,22.871,0.0443
0.137,19.3857,0.0387
0.25,20.7099,0.0314
0.15,19.7034,0.0327
0.152,20.2646,0.0335
0.436,22.7263,0.0351
0.244,21.4106,0.034
0.101,19.2068,0.0326
0.34,21.798,0.0298
0.37,21.7385,0.0273
0.618,23.0596,0.0353
0.46,22.4422,0.0323
0.22,20.6055,0.0331
0.195,20.2901,0.0323
0.31,21.6608,0.0325
0.09,19.1386,0.0321
0.031,16.4479,0.0365
0.126,19.3544,0.0319
0.409,22.3077,0.0566
0.23,20.6647,0.0379
0.15,20.7399,0.0385
0.26,20.9247,0.0297
0.51,22.5203,0.1192
0.22,20.4095,0.0404
0.447,22.5329,0.0502
0.381,22.1985,0.0546
0.443,22.508,0.0475
0.25,21.1323,0.0373
0.279,21.0674,0.0375
0.233,21.6656,0.0443
0.336,22.1595,0.0511
0.43,22.4228,0.0574
0.53,22.6465,0.05
0.55,22.7972,0.0521
0.576,22.8547,0.0621
0.387,22.218,0.0567
0.323,21.916,0.0454
0.36,21.8163,0.035
0.36,21.7411,0.046
0.347,22.0878,0.044
0.331,22.367,0.0619
0.45,22.3976,0.0426
0.443,22.6496,0.0466
0.06,18.0032,0.0359
0.35,21.6384,0.0338
0.066,18.7522,0.0365
0.33,21.6825,0.0539
0.431,22.188,0.0431
0.635,23.0668,0.0746
0.145,21.1976,0.0938
0.51,22.5028,0.0475
0.14,19.8288,0.0396
0.148,19.6904,0.0312
0.29,21.3028,0.0471
0.31,21.1673,0.0582
0.172,20.8168,0.0377
0.43,22.5567,0.0485
0.319,21.5735,0.0836
0.217,20.3411,0.0339
0.276,21.5035,0.0558
0.36,21.7737,0.133
0.104,19.176,0.0883
0.21,20.3292,0.087
0.38,22.2225,0.0473
0.64,22.9873,0.0706
0.42,22.53,0.0515
0.35,22.6369,0.0694
0.2,20.7337,0.0401
0.27,21.0553,0.0395
0.51,22.8034,0.0648
0.25,21.3245,0.0628
0.43,22.3729,0.0454
0.22,21.3118,0.0584
0.32,22.1275,0.057
0.4,22.8075,0.0587
0.57,22.9709,0.0665
0.4,21.9647,0.0559
0.48,22.6377,0.0539
0.32,21.8606,0.0494
0.4,22.3738,0.052
0.45,22.2369,0.0384
0.174,19.9703,0.0303
0.16,20.3109,0.0349
0.329,21.7043,0.0448
0.35,21.7691,0.0589
0.3,21.3119,0.2122
0.25,20.6749,0.0372
0.23,20.878,0.0653
0.082,18.9628,0.0385
0.105,18.4755,0.0441
0.293,21.346,0.0395
0.33,21.7694,0.0468
0.21,20.2066,0.0307
0.101,18.9879,0.0338
0.27,21.5425,0.0335
0.31,21.3534,0.0361
0.3,21.0935,0.0419
0.13,19.1283,0.0314
0.27,21.231,0.033
0.107,20.4227,0.0414
0.53,22.9922,0.0591
0.36,21.8684,0.0339
0.1,18.9248,0.0399
0.37,21.8658,0.0467
0.36,22.0414,0.0406
0.35,21.7392,0.0444
0.423,22.8718,0.0775
0.63,22.9198,0.0629
0.32,21.8814,0.053
0.3,21.8144,0.0429
0.147,19.9036,0.0302
0.51,22.6176,0.0785
0.23,21.4313,0.0431
0.37,21.7008,0.0439
0.14,19.8142,0.0406
0.145,19.5783,0.061
0.14,19.5217,0.0421
0.093,19.1689,0.0379
0.173,20.3696,0.0336
0.24,20.862,0.2121
0.272,21.5594,0.0441
0.43,22.4847,0.0449
0.15,19.6522,0.0493
0.345,22.2037,0.081
0.509,22.7252,0.0517
0.477,22.2555,0.0478
0.254,21.1275,0.0363
0.32,21.7306,0.0381
0.284,21.1722,0.0339
0.51,22.7161,0.0451
0.238,21.0055,0.0392
0.381,21.9154,0.0473
0.342,21.8796,0.0458
0.38,22.0593,0.1797
0.265,21.2356,0.0605
0.22,20.5732,0.0321
0.35,22.114,0.0459
0.322,21.4144,0.0378
0.14,20.0943,0.039
0.14,20.0333,0.127
0.3,21.6943,0.0565
0.31,21.8045,0.0567
0.233,21.2015,0.0746
0.404,22.0394,0.0542
0.3,22.2593,0.1094
0.3,21.2499,0.0366
0.384,21.7836,0.0382
0.31,21.4691,0.0329
0.168,20.3418,0.0352
0.263,21.3038,0.078
0.079,18.2607,0.0355
0.51,22.7457,0.0593
0.18,20.1644,0.0381
0.3,21.457,0.0364
0.18,20.051,0.0325
0.41,22.0572,0.0368
0.23,20.9439,0.0327
0.198,20.6765,0.0315
0.046,17.357,0.0412
0.221,20.6173,0.0316
0.2,20.0704,0.0347
0.477,22.5317,0.055
0.331,21.7488,0.0385
0.025,15.8604,0.0448
0.47,22.4983,0.0432
0.18,19.6919,0.0608
0.34,21.5648,0.0385
0.177,20.0375,0.0315
0.26,21.0658,0.0312
0.184,20.2812,0.036
0.071,18.215,0.0341
0.305,21.0677,0.164
0.18,20.2062,0.0331
0.18,22.0343,0.0476
0.336,21.7857,0.0713
0.27,20.9041,0.0329
0.12,19.5469,0.062
0.37,21.7879,0.051
0.25,21.0945,0.0338
0.292,21.3187,0.0327
0.16,19.9491,0.0615
0.0976,18.7542,0.1509
0.1823,20.0469,0.0348
0.3,21.9544,0.0527
0.276,21.9668,0.0556
0.4,21.8308,0.0425
0.25,21.1858,0.0628
0.294,21.4789,0.0581
0.38,21.7591,0.0783
0.33,21.8383,0.0701
0.233,20.8727,0.0783
0.306,22.0104,0.0519
0.148,20.0024,0.0312
0.16,20.4375,0.0341
0.287,21.3491,0.0492
0.421,22.078,0.0468
0.43,22.2605,0.0436
0.18,20.6221,0.0643
0.32,21.4592,0.0774
0.19,20.193,0.0338
0.25,20.9998,0.0379
0.5,22.6905,0.0908
0.41,22.2267,0.1
0.15,19.8527,0.0338
0.21,20.1664,0.0418
0.303,21.3905,0.074
0.242,20.5918,0.0309
0.21,20.7188,0.0445
0.24,20.4355,0.0431
0.338,21.9372,0.1207
0.331,21.4504,0.0401
0.346,21.7938,0.0621
0.2,20.6403,0.0356
0.36,21.8967,0.0475
0.0326,17.34,0.0371
0.25,21.5637,0.0399
0.22,20.4742,0.0332
0.054,17.6222,0.0363
0.13,19.0996,0.0333
0.422,22.0251,0.0731
0.34,22.5047,0.1053
0.25,20.724,0.0656
0.38,21.7529,0.0333
0.31,21.6312,0.0352
0.326,22.3224,0.0631
0.334,21.6598,0.0356
0.29,21.0517,0.0674
0.25,21.3477,0.0351
0.437,22.0428,0.0388
0.502,22.9231,0.0822
0.241,20.8034,0.0351
0.38,21.7483,0.0457
0.46,22.3944,0.0525
0.27,21.153,0.0375
0.263,21.3818,0.0524
0.119,20.1509,0.0402
0.545,22.9211,0.0629
0.308,21.7581,0.0441
0.411,22.3979,0.0516
0.25,21.2917,0.0459
0.283,21.0539,0.0312
0.27,20.9931,0.0651
0.052,17.2718,0.0592
0.33,21.9074,0.106
0.41,22.7025,0.0627
0.33,22.0773,0.0426
0.074,18.7515,0.0359
0.26,20.6663,0.0255
0.32,22.2806,0.1645
0.212,20.5764,0.0915
0.421,22.1841,0.089
0.212,20.6373,0.0358
0.248,21.999,0.0917
0.422,22.0476,0.0576
0.389,22.1719,0.0967
0.44,22.0899,0.0548
0.083,18.7799,0.0391
0.3,22.4086,0.0726
0.31,21.5407,0.0606
0.365,22.2861,0.0562
0.25,20.9036,0.0485
0.3,21.4159,0.0418
0.3,21.248,0.1074
0.125,19.3715,0.0364
0.33,21.8285,0.0554
0.383,21.9538,0.0458
0.339,21.6056,0.0384
0.24,21.0813,0.0557
0.2,20.4713,0.0382
0.175,20.2649,0.0349
0.34,21.9687,0.076
0.0894,18.7434,0.0369
0.087,18.1465,0.0339
0.476,22.8014,0.0542
0.1017,18.9912,0.0471
0.36,22.2772,0.1258
0.393,21.9076,0.045
0.11,20.7677,0.0728
0.329,21.6967,0.1588
0.271,21.2245,0.0352
0.329,21.7843,0.0333
0.138,20.1473,0.0397
0.354,22.281,0.0549
0.476,22.6521,0.0671
0.533,22.942,0.0614
0.667,23.2625,0.082
0.475,22.4492,0.0416
0.32,21.5022,0.1908
0.17,19.9064,0.0381
0.285,21.2625,0.0459
0.3,22.1151,0.0439
0.278,21.5283,0.041
0.322,21.7291,0.0575
0.501,22.4824,0.0434
0.614,22.9545,0.0485
0.431,22.235,0.0443
0.433,22.572,0.0564
0.466,22.4892,0.0674
0.448,22.2345,0.0434
0.328,21.6698,0.0368
0.076,18.8235,0.0546
0.323,21.169,0.0696
0.587,22.68,0.0861
0.297,21.4615,0.0458
0.31,21.7468,0.0484
0.26,20.8416,0.0356
0.332,22.0477,0.062
0.259,21.7033,0.0526
0.319,22.0466,0.0866
0.15,21.0032,0.1973
0.345,21.4378,0.0728
0.339,22.395,0.0523
0.32,21.6169,0.0472
0.214,20.6344,0.0572
0.186,20.256,0.0347
0.292,21.5057,0.0514
0.285,20.7406,0.09
0.254,21.6762,0.0871
0.2,20.7398,0.0376
0.22,21.0141,0.0567
