z_bin_center,quasar_count
0.025252525252525252,0
0.07575757575757576,6
0.12626262626262627,3
0.17676767676767677,16
0.2272727272727273,30
0.2777777777777778,82
0.3282828282828283,87
0.3787878787878788,171
0.4292929292929293,243
0.4797979797979798,286
0.5303030303030303,409
0.5808080808080809,641
0.6313131313131313,1040
0.6818181818181819,1635
0.7323232323232323,1973
0.7828282828282829,2116
0.8333333333333333,1963
0.8838383838383839,1699
0.9343434343434343,940
0.9848484848484849,606
1.0353535353535355,580
1.0858585858585859,456
1.1363636363636362,326
1.1868686868686869,252
1.2373737373737375,274
1.2878787878787878,286
1.3383838383838382,278
1.3888888888888888,272
1.4393939393939394,299
1.4898989898989898,450
1.5404040404040402,633
1.5909090909090908,797
1.6414141414141414,637
1.691919191919192,533
1.7424242424242424,455
1.7929292929292928,446
1.8434343434343434,408
1.893939393939394,404
1.9444444444444444,534
1.994949494949495,642
2.0454545454545454,678
2.095959595959596,1177
2.146464646464646,2363
2.1969696969696972,4256
2.2474747474747474,4975
2.2979797979797976,5092
2.3484848484848486,4669
2.398989898989899,4446
2.44949494949495,3848
2.5,3387
2.55050505050505,3127
2.601010101010101,2763
2.6515151515151514,2381
2.702020202020202,2051
2.7525252525252526,1678
2.8030303030303028,1576
2.853535353535354,1499
2.904040404040404,1441
2.954545454545454,1414
3.005050505050505,1368
3.0555555555555554,1276
3.106060606060606,1175
3.1565656565656566,1157
3.2070707070707067,995
3.257575757575758,828
3.308080808080808,770
3.3585858585858586,535
3.409090909090909,354
3.4595959595959593,267
3.5101010101010104,221
3.5606060606060606,246
3.6111111111111107,335
3.6616161616161618,307
3.712121212121212,313
3.7626262626262625,302
3.813131313131313,289
3.8636363636363633,205
3.9141414141414144,181
3.9646464646464645,164
4.015151515151516,122
4.065656565656566,101
4.116161616161616,92
4.166666666666666,65
4.217171717171717,64
4.267676767676768,42
4.318181818181818,35
4.3686868686868685,37
4.419191919191919,36
4.46969696969697,23
4.52020202020202,25
4.570707070707071,19
4.621212121212121,18
4.671717171717171,23
4.722222222222222,21
4.7727272727272725,21
4.8232323232323235,11
4.873737373737374,13
4.924242424242424,8
4.974747474747475,7
