z_bin_center,merger_count
0.05102040816326531,9
0.15306122448979592,20
0.25510204081632654,17
0.35714285714285715,11
0.45918367346938777,7
0.5612244897959184,14
0.6632653061224489,6
0.7653061224489797,2
0.8673469387755102,1
0.9693877551020409,1
1.0714285714285716,1
1.1734693877551021,1
1.2755102040816326,0
1.3775510204081631,0
1.479591836734694,0
1.5816326530612246,0
1.683673469387755,0
1.7857142857142856,0
1.8877551020408165,0
1.989795918367347,0
2.0918367346938775,0
2.1938775510204085,0
2.295918367346939,0
2.3979591836734695,0
2.5,0
2.6020408163265305,0
2.704081632653061,0
2.806122448979592,0
2.9081632653061225,0
3.0102040816326534,0
3.112244897959184,0
3.2142857142857144,0
3.316326530612245,0
3.4183673469387754,0
3.520408163265306,0
3.622448979591837,0
3.7244897959183674,0
3.8265306122448983,0
3.928571428571429,0
4.030612244897959,0
4.13265306122449,0
4.23469387755102,0
4.336734693877551,0
4.438775510204081,0
4.540816326530613,0
4.642857142857143,0
4.744897959183674,0
4.846938775510204,0
4.948979591836735,0
